Country,Medal,Name,Sport,Event,Date
France,Bronze,Romane Dicko,Judo,Women's +78 kg,8/2/2024
France,Silver,Sara Balzer,Fencing,Women's sabre,7/29/2024
France,Bronze,Sarah-Léonie Cysique,Judo,Women's 57 kg,7/29/2024
France,Bronze,Shirine Boukli,Judo,Women's 48 kg,7/27/2024
France,Silver,Sofiane Oumiha,Boxing,Men's 63.5 kg,8/7/2024
France,Silver,Sylvain André,Cycling,Men's BMX racing,8/2/2024
France,Gold,Teddy Riner,Judo,Men's +100 kg,8/2/2024
France,Silver,Titouan Castryck,Canoeing,Men's slalom K-1,8/1/2024
France,Silver,Valentin Madouas,Cycling,Men's individual road race,8/3/2024
France,Silver,Victor Koretzky,Cycling,Men's cross-country,7/29/2024
France,Silver,Yannick Borel,Fencing,Men's épée,7/28/2024
Georgia,Gold,Geno Petriashvili,Wrestling,Men's freestyle 125 kg,8/10/2024
Georgia,Silver,Givi Matcharashvili,Wrestling,Men's freestyle 97 kg,8/11/2024
Georgia,Silver,Ilia Sulamanidze,Judo,Men's 100 kg,8/1/2024
Georgia,Gold,Lasha Bekauri,Judo,Men's 90 kg,7/31/2024
Georgia,Bronze,Lasha Guruli,Boxing,Men's lightweight,8/4/2024
Georgia,Gold,Lasha Talakhadze,Weightlifting,Men's +102 kg,8/11/2024
Georgia,Silver,Tato Grigalashvili,Judo,Men's 81 kg,7/30/2024
Iran,Silver,Alireza Mohmadi,Wrestling,Men's Greco-Roman 87 kg,8/8/2024
Iran,Bronze,Amin Mirzazadeh,Wrestling,Men's Greco-Roman 130 kg,8/6/2024
Iran,Bronze,Amir Ali Azarpira,Wrestling,Men's freestyle 97 kg,8/11/2024
Iran,Silver,Amir Hossein Zare,Wrestling,Men's freestyle 125 kg,8/10/2024
Iran,Gold,Arian Salimi,Taekwondo,Men's +80 kg,8/10/2024
Iran,Silver,Hassan Yazdani,Wrestling,Men's freestyle 86 kg,8/9/2024
Iran,Silver,Mehran Barkhordari,Taekwondo,Men's 80 kg,8/9/2024
Iran,Bronze,Mobina Nematzadeh,Taekwondo,Women's 49 kg,8/7/2024
Iran,Gold,Mohammad Hadi Saravi,Wrestling,Men's Greco-Roman 97 kg,8/7/2024
Iran,Silver,Nahid Kiani,Taekwondo,Women's 57 kg,8/8/2024
Iran,Silver,Rahman Amouzad,Wrestling,Men's freestyle 65 kg,8/11/2024
Iran,Gold,Saeid Esmaeili,Wrestling,Men's Greco-Roman 67 kg,8/8/2024
Japon,,Akari Fujinami,Wrestling,Women's freestyle 53 kg,8/8/2024
Japon,,Ami Yuasa,Breaking,B-Girls,8/9/2024
Japon,,Coco Yoshizawa,Skateboarding,Women's street,7/28/2024
Japon,,Daichi Takatani,Wrestling,Men's freestyle 74 kg,8/10/2024
Japon,,Haruka Funakubo,Judo,Women's 57 kg,7/29/2024
Japon,,Haruka Kitaguchi,Athletics,Women's javelin throw,8/10/2024
Japon,,Hideki Matsuyama,Golf,Men's individual,8/4/2024
Japon,,Hifumi Abe,Judo,Men's –66 kg,7/28/2024
Japon,,Hina Hayata,Table tennis,Women's singles,8/3/2024
Japon,,Kenichiro Fumita,Wrestling,Men's Greco-Roman 60 kg,8/6/2024
Japon,,Koki Kano,Fencing,Men's épée,7/28/2024
Japon,,Kokona Hiraki,Skateboarding,Women's park,8/6/2024
Japon,,Kotaro Kiyooka,Wrestling,Men's freestyle 65 kg,8/11/2024
Japon,,Liz Akama,Skateboarding,Women's street,7/28/2024
Japon,,Nao Kusaka,Wrestling,Men's Greco-Roman 77 kg,8/7/2024
Japon,,Natsumi Tsunoda,Judo,Women's –48 kg,7/27/2024
Japon,,Nonoka Ozaki,Wrestling,Women's freestyle 68 kg,8/6/2024
Japon,,Rei Higuchi,Wrestling,Men's freestyle 57 kg,8/9/2024
Japon,,Rikuto Tamai,Diving,Men's 10 m platform,8/10/2024
Japon,,Ryuju Nagayama,Judo,Men's –60 kg,7/27/2024
Japon,,Sakura Motoki,Wrestling,Women's freestyle 62 kg,8/10/2024
Japon,,Sanshiro Murao,Judo,Men's 90 kg,7/31/2024
Japon,,Shinnosuke Oka,Gymnastics,Men's artistic individual all-around,7/31/2024
Japon,,Shinnosuke Oka,Gymnastics,Men's horizontal bar,8/5/2024
Japon,,Shinnosuke Oka,Gymnastics,Men's parallel bars,8/5/2024
Japon,,Soichi Hashimoto,Judo,Men's 73 kg,7/29/2024
Japon,,Sorato Anraku,Sport climbing,Men's combined,8/9/2024
Japon,,Taishu Sato,Modern pentathlon,Men's,8/10/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Gymnastics,Men's artistic team all-around,7/29/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Fencing,Men's team foil,8/4/2024
Japon,,"Takaaki Sugino
Shinnosuke Oka
Daiki Hashimoto
Kazuma Kaya
Wataru Tanigawa",Fencing,Men's team épée,8/2/2024
